"Format","MoTeC CSV",,,"Workbook","Samples"
"Venue","Interlagos",,,"Worksheet","Graph"
"Vehicle","SupV8: Calvin Klos #10",,,"Vehicle Desc","SupV8: Calvin Klos #10"
"Driver","Joao Guilherme",,,"Engine ID",""
"Device","ADL"
"Comment","(Exported from rFactor Data Acquisition Plugin v1.3.2.0)",,,"Session",""
"Log Date","21/03/2020",,,"Origin Time","0.000","s"
"Log Time","01:18",,,"Start Time","0.000","s"
"Sample Rate","102.400","Hz",,"End Time","318.896","s"
"Duration","318.896","s",,"Start Distance","0","m"
"Range","entire outing",,,"End Distance","11163","m"

"Time","Distance","Engine RPM","Corr Speed","Throttle Pos","G Force Lat","G Force Long"
"Time","Distance","Engine RPM","Corr Speed","Throttle Pos","G Force Lat","G Force Long"
"s","m","rpm","km/h","%","G","G"


"0.000","0","0","0.0","0.00","0.000","0.000"
"0.010","0","1352","0.1","0.00","0.017","-0.844"
"0.020","0","1352","0.1","0.00","0.004","-0.099"
"0.029","0","1352","0.1","0.00","0.000","0.005"
"0.039","0","1352","0.1","0.00","-0.001","0.006"
"0.049","0","1352","0.1","0.00","-0.002","0.005"
"0.059","0","1352","0.1","0.00","-0.002","0.004"
"0.068","0","1352","0.1","0.00","-0.002","0.004"
"0.078","0","1352","0.1","0.00","-0.002","0.004"
"0.088","0","1352","0.1","0.00","-0.001","0.003"
"0.098","0","1352","0.1","0.00","-0.001","0.003"
"0.107","0","1352","0.1","0.00","-0.001","0.003"
"0.117","0","1352","0.1","0.00","0.000","0.003"
"0.127","0","1352","0.1","0.00","0.000","0.003"
"0.137","0","1352","0.1","0.00","0.000","0.003"
"0.146","0","1352","0.1","0.00","0.001","0.003"
"0.156","0","1352","0.1","0.00","0.001","0.003"
"0.166","0","1352","0.1","0.00","0.001","0.003"
"0.176","0","1352","0.1","0.00","0.001","0.003"
"0.186","0","1352","0.1","0.00","0.001","0.003"
"0.195","0","1352","0.1","0.00","0.002","0.003"
"0.205","0","1352","0.1","0.00","0.002","0.003"
"0.215","0","1352","0.1","0.00","0.001","0.003"
"0.225","0","1352","0.1","0.00","0.001","0.003"
"0.234","0","1352","0.1","0.00","0.001","0.003"
"0.244","0","1352","0.1","0.00","0.001","0.003"
"0.254","0","1352","0.1","0.00","0.001","0.003"
"0.264","0","1352","0.1","0.00","0.000","0.003"
"0.273","0","1352","0.1","0.00","0.000","0.003"
"0.283","0","1352","0.1","0.00","0.000","0.003"
"0.293","0","1352","0.1","0.00","0.000","0.003"
"0.303","0","1352","0.1","0.00","0.000","0.003"
"0.313","0","1352","0.1","0.00","0.000","0.003"
"0.322","0","1352","0.1","0.00","0.000","0.003"
"0.332","0","1352","0.1","0.00","0.000","0.003"
"0.342","0","1352","0.1","0.00","0.000","0.003"
"0.352","0","1352","0.1","0.00","0.000","0.003"
"0.361","0","1352","0.1","0.00","0.000","0.003"
"0.371","0","1352","0.1","0.00","0.000","0.003"
"0.381","0","1352","0.1","0.00","0.000","0.003"
"0.391","0","1352","0.1","0.00","0.000","0.002"
"0.400","0","1352","0.1","0.00","0.000","0.002"
"0.410","0","1352","0.1","0.00","0.000","0.002"
"0.420","0","1352","0.1","0.00","0.000","0.002"
"0.430","0","1352","0.1","0.00","0.000","0.002"
"0.439","0","1352","0.1","0.00","0.000","0.002"
"0.449","0","1352","0.1","0.00","0.000","0.002"
"0.459","0","1352","0.1","0.00","0.000","0.002"
"0.469","0","1352","0.1","0.00","0.000","0.002"
"0.479","0","1352","0.1","0.00","0.000","0.002"
"0.488","0","1352","0.1","0.00","0.000","0.002"
"0.498","0","1352","0.1","0.00","0.000","0.002"
"0.508","0","1352","0.1","0.00","0.000","0.002"
"0.518","0","1352","0.1","0.00","0.000","0.002"
"0.527","0","1352","0.1","0.00","0.000","0.002"
"0.537","0","1352","0.1","0.00","0.001","0.002"
"0.547","0","1352","0.1","0.00","0.001","0.002"
"0.557","0","1352","0.1","0.00","0.000","0.002"
"0.566","0","1352","0.1","0.00","0.000","0.002"
"0.576","0","1352","0.1","0.00","0.001","0.002"
"0.586","0","1352","0.1","0.00","0.000","0.002"
"0.596","0","1352","0.1","0.00","0.000","0.002"
"0.605","0","1352","0.1","0.00","0.000","0.002"
"0.615","0","1352","0.1","0.00","0.000","0.002"
"0.625","0","1352","0.1","0.00","0.000","0.002"
"0.635","0","1352","0.1","0.00","0.000","0.002"
"0.645","0","1352","0.1","0.00","0.000","0.002"
"0.654","0","1352","0.1","0.00","0.001","0.002"
"0.664","0","1352","0.1","0.00","0.001","0.002"
"0.674","0","1352","0.1","0.00","0.000","0.002"
"0.684","0","1352","0.1","0.00","0.000","0.002"
"0.693","0","1352","0.1","0.00","-0.001","0.002"
"0.703","0","1352","0.1","0.00","0.000","0.000"
"0.713","0","1351","0.1","0.00","0.001","-0.007"
"0.723","0","1348","0.1","0.11","0.000","-0.016"
"0.732","0","1345","0.1","0.76","0.000","-0.021"
"0.742","0","1344","0.1","1.72","0.000","-0.025"
"0.752","0","1342","0.1","2.27","0.001","-0.029"
"0.762","0","1340","0.1","2.92","0.001","-0.031"
"0.771","0","1340","0.1","3.61","0.001","-0.031"
"0.781","0","1342","0.1","4.25","0.000","-0.033"
"0.791","0","1346","0.1","4.66","0.000","-0.036"
"0.801","0","1353","0.2","4.84","-0.001","-0.036"
"0.811","0","1361","0.2","5.19","-0.001","-0.037"
"0.820","0","1371","0.2","5.57","-0.001","-0.041"
"0.830","0","1384","0.2","6.22","-0.001","-0.045"
"0.840","0","1395","0.2","6.35","0.000","-0.050"
"0.850","0","1408","0.2","6.85","0.002","-0.055"
"0.859","0","1424","0.3","7.69","0.002","-0.061"
"0.869","0","1442","0.3","8.41","0.001","-0.068"
"0.879","0","1461","0.3","8.82","0.001","-0.075"
"0.889","0","1481","0.3","9.21","0.002","-0.080"
"0.898","0","1502","0.4","9.90","0.005","-0.085"
"0.908","0","1525","0.4","10.60","0.006","-0.090"
"0.918","0","1548","0.4","10.73","0.002","-0.095"
"0.928","0","1573","0.5","11.67","0.002","-0.101"
"0.938","0","1601","0.5","12.86","0.004","-0.108"
"0.947","0","1631","0.5","13.64","0.006","-0.114"
"0.957","0","1663","0.6","14.14","0.008","-0.120"
"0.967","0","1695","0.6","14.95","0.005","-0.129"
"0.977","0","1728","0.7","15.48","0.005","-0.134"
"0.986","0","1759","0.7","16.12","0.005","-0.146"
"0.996","0","1793","0.8","17.47","0.007","-0.157"
"1.006","0","1826","0.8","18.11","0.008","-0.166"
"1.016","0","1859","0.9","18.67","0.008","-0.173"
"1.025","0","1891","0.9","19.05","0.009","-0.177"
"1.035","0","1922","1.0","19.27","0.010","-0.178"
"1.045","0","1953","1.1","19.92","0.010","-0.182"
"1.055","0","1986","1.1","20.36","0.008","-0.185"
"1.064","0","2020","1.2","21.34","0.008","-0.184"
"1.074","0","2055","1.3","21.71","0.011","-0.188"
"1.084","0","2090","1.3","22.08","0.013","-0.194"
"1.094","0","2125","1.4","22.66","0.011","-0.198"
"1.104","0","2160","1.5","23.34","0.010","-0.204"
"1.113","0","2195","1.5","23.78","0.011","-0.209"
"1.123","0","2228","1.6","23.81","0.013","-0.216"
"1.133","0","2258","1.7","23.84","0.013","-0.224"
"1.143","0","2286","1.8","24.19","0.013","-0.232"
"1.152","0","2311","1.9","24.21","0.013","-0.241"
"1.162","0","2334","1.9","24.21","0.016","-0.245"
"1.172","0","2355","2.0","24.21","0.017","-0.247"
"1.182","0","2375","2.1","24.21","0.017","-0.250"
"1.191","0","2393","2.2","24.21","0.017","-0.253"
"1.201","0","2410","2.3","24.21","0.017","-0.254"
"1.211","0","2425","2.4","24.21","0.016","-0.259"
"1.221","0","2440","2.5","24.21","0.019","-0.258"
"1.230","0","2453","2.5","24.21","0.019","-0.263"
"1.240","0","2464","2.6","24.21","0.019","-0.264"
"1.250","0","2475","2.7","24.21","0.020","-0.267"
"1.260","0","2484","2.8","24.32","0.020","-0.272"
"1.270","0","2493","2.9","24.50","0.019","-0.274"
"1.279","0","2502","3.0","24.60","0.019","-0.274"
"1.289","0","2511","3.1","24.60","0.022","-0.273"
"1.299","0","2520","3.2","24.60","0.022","-0.273"
"1.309","0","2528","3.3","24.60","0.020","-0.272"
"1.318","0","2536","3.4","24.60","0.022","-0.272"
"1.328","0","2545","3.5","24.86","0.022","-0.271"
"1.338","0","2555","3.6","25.00","0.022","-0.271"
"1.348","0","2564","3.7","25.00","0.023","-0.270"
"1.357","0","2572","3.8","25.00","0.023","-0.270"
"1.367","0","2581","3.9","25.00","0.023","-0.269"
"1.377","0","2589","3.9","25.00","0.023","-0.269"
"1.387","0","2597","4.0","25.00","0.023","-0.268"
"1.396","0","2604","4.1","25.00","0.024","-0.267"
"1.406","0","2612","4.2","25.00","0.024","-0.267"
"1.416","0","2619","4.3","25.00","0.024","-0.267"
"1.426","0","2626","4.4","25.00","0.024","-0.266"
"1.436","0","2632","4.5","25.00","0.024","-0.266"
"1.445","0","2638","4.6","25.00","0.025","-0.265"
"1.455","0","2645","4.7","25.00","0.025","-0.264"
"1.465","0","2650","4.8","25.00","0.025","-0.264"
"1.475","0","2656","4.9","25.00","0.025","-0.263"
"1.484","0","2662","5.0","25.00","0.026","-0.263"
"1.494","0","2667","5.1","25.00","0.026","-0.262"
"1.504","0","2671","5.2","25.00","0.028","-0.263"
"1.514","0","2675","5.2","25.00","0.029","-0.264"
"1.523","0","2678","5.3","25.00","0.028","-0.265"
"1.533","0","2681","5.4","25.00","0.030","-0.265"
"1.543","1","2684","5.5","25.00","0.031","-0.265"
"1.553","1","2686","5.6","25.00","0.032","-0.270"
"1.563","1","2687","5.7","25.00","0.033","-0.272"
"1.572","1","2687","5.8","24.97","0.035","-0.275"
"1.582","1","2685","5.9","24.58","0.037","-0.278"
"1.592","1","2680","6.0","24.05","0.038","-0.280"
