"Format","MoTeC CSV",,,"Workbook","Samples"
"Venue","Interlagos",,,"Worksheet","Graph"
"Vehicle","BoxerCup: Eric Monteiro #8",,,"Vehicle Desc","BoxerCup: Eric Monteiro #8"
"Driver","Ohira",,,"Engine ID",""
"Device","ADL"
"Comment","(Exported from rFactor Data Acquisition Plugin v1.3.2.0)",,,"Session",""
"Log Date","26/10/2020",,,"Origin Time","223.173","s"
"Log Time","19:43",,,"Start Time","223.184","s"
"Sample Rate","51.200","Hz",,"End Time","319.297","s"
"Duration","96.113","s",,"Start Distance","8939","m"
"Range","Lap 2",,,"End Distance","13176","m"

"Time","Distance","Corr Speed","Throttle Pos","Brake Pedal Pos","Steering Wheel Pct","Gear","G Force Lat","curvature","Suspension Pos FR"
"Time","Distance","Corr Speed","Throttle Pos","Brake Pedal Pos","Steering Wheel Pct","Gear","G Force Lat","curvature","Suspension Pos FR"
"s","m","km/h","%","%","%","","G","","mm"


"0.000","0","257.7","100.00","0.00","-0.18","6","0.0378","0","38.26"
"0.020","1","257.8","100.00","0.00","-0.18","6","0.0337","0","37.23"
"0.039","3","257.8","100.00","0.00","-0.18","6","0.0299","0","35.67"
"0.059","4","257.9","100.00","0.00","-0.18","6","0.0264","0","34.58"
"0.078","6","257.9","100.00","0.00","-0.18","6","0.0248","0","34.60"
"0.098","7","258.0","100.00","0.00","-0.18","6","0.0261","0","35.47"
"0.117","8","258.0","100.00","0.00","-0.18","6","0.0313","0","37.04"
"0.137","10","258.1","100.00","0.00","-0.18","6","0.0502","0","39.32"
"0.156","11","258.1","100.00","0.00","-0.18","6","0.0643","0","41.93"
"0.176","13","258.2","100.00","0.00","-0.20","6","0.0682","0","44.01"
"0.195","14","258.2","100.00","0.00","-0.25","6","0.0585","0","45.42"
"0.215","15","258.2","100.00","0.00","-0.30","6","0.0454","0","46.34"
"0.234","17","258.3","100.00","0.00","-0.34","6","0.0449","0","47.18"
"0.254","18","258.3","100.00","0.00","-0.37","6","0.0647","0","48.30"
"0.273","20","258.3","100.00","0.00","-0.39","6","0.0955","0","49.76"
"0.293","21","258.4","100.00","0.00","-0.38","6","0.1190","0","51.00"
"0.313","23","258.4","100.00","0.00","-0.35","6","0.1252","0","51.13"
"0.332","24","258.5","100.00","0.00","-0.31","6","0.1241","0","50.19"
"0.352","25","258.6","100.00","0.00","-0.28","6","0.1162","0","48.81"
"0.371","27","258.7","100.00","0.00","-0.26","6","0.1104","0","47.42"
"0.391","28","258.7","100.00","0.00","-0.26","6","0.1007","0","46.08"
"0.410","30","258.8","100.00","0.00","-0.27","6","0.0868","0","44.57"
"0.430","31","258.9","100.00","0.00","-0.30","6","0.0757","0","42.73"
"0.449","32","259.0","100.00","0.00","-0.33","6","0.0657","0","40.88"
"0.469","34","259.0","100.00","0.00","-0.38","6","0.0628","0","39.80"
"0.488","35","259.1","100.00","0.00","-0.41","6","0.0642","0","39.72"
"0.508","37","259.1","100.00","0.00","-0.44","6","0.0771","0","40.32"
"0.527","38","259.2","100.00","0.00","-0.46","6","0.0912","0","41.00"
"0.547","39","259.2","100.00","0.00","-0.46","6","0.0997","0","41.15"
"0.566","41","259.3","100.00","0.00","-0.47","6","0.0980","0","40.47"
"0.586","42","259.4","100.00","0.00","-0.47","6","0.0864","0","39.06"
"0.605","44","259.4","100.00","0.00","-0.47","6","0.0746","0","37.50"
"0.625","45","259.5","100.00","0.00","-0.47","6","0.0786","0","36.80"
"0.645","47","259.5","100.00","0.00","-0.47","6","0.0992","0","37.16"
"0.664","48","259.5","100.00","0.00","-0.47","6","0.1208","0","37.95"
"0.684","49","259.6","100.00","0.00","-0.46","6","0.1270","0","39.03"
