cx,cy
-324.2839934,-142.6293959
-321.6674329,-146.8901014
-318.6147502,-150.8500418
-315.1602161,-154.4647609
-311.342613,-157.6936781
-307.2047991,-160.500544
-302.7932275,-162.8538474
-298.1574248,-164.7271688
-293.3494347,-166.0994775
-288.4232341,-166.9553672
-283.4341268,-167.2852294
-278.4381232,-167.0853608
-273.4913107,-166.3580052
-268.6492247,-165.1113283
-263.9662248,-163.359326
-259.4948847,-161.121667
-255.2854019,-158.4234724
-251.385034,-155.2950334
-247.8375685,-151.7714715
-244.682831,-147.8923438
-241.9562381,-143.7011995
-238.8189638,-137.1522976
-236.7212153,-132.6136358
-234.1592709,-128.5035152
-227.6323352,-121.3708874
-223.7651031,-118.4552115
-219.5706692,-116.0337711
-215.1118569,-114.1428341
-210.4554496,-112.8107226
-205.6711902,-112.0573888
-200.8307365,-111.8941161
-196.0065881,-112.3233498
-191.2710002,-113.338661
-186.4331749,-114.601771
-181.5483626,-115.7006664
-176.6288926,-116.6322121
-171.6804965,-117.395323
-166.7089395,-117.9891099
-161.7200137,-118.412881
-156.7195317,-118.6661426
-151.7133192,-118.7485996
-146.7072089,-118.6601559
-141.7070333,-118.4009146
-136.7186179,-117.9711778
-131.7477745,-117.3714461
-126.8002945,-116.6024182
-121.881942,-115.66499
-116.9984473,-114.5602539
-112.1555,-113.2894968
-107.3587424,-111.8541993
-102.6137631,-110.2560336
-97.92609033,-108.4968616
-93.30118548,-106.578733
-88.74443693,-104.5038824
-84.26115358,-102.2747273
-79.85655876,-99.89386464
-75.53578414,-97.36406841
-71.3038637,-94.68828596
-67.16572793,-91.86963477
-63.12619802,-88.91139874
-59.1899803,-85.81702442
-55.36166075,-82.59011698
-51.6456996,-79.23443597
-48.0464262,-75.753891
-44.56803396,-72.15253713
-41.21457544,-68.43457018
-37.98995763,-64.60432185
-34.89793745,-60.66625462
-31.94211731,-56.62495661
-29.12594093,-52.48513622
-26.45268935,-48.25161661
-23.9254771,-43.92933012
-21.54724854,-39.52331251
-19.32077447,-35.03869708
-17.24864889,-30.48070872
-15.33328597,-25.8546578
-13.57691722,-21.16593397
-11.98158895,-16.41999993
-10.54915981,-11.62238499
-9.28129869,-6.77867872
-8.179482724,-1.894524354
-7.244995607,3.024387732
-6.478926078,7.972326673
-5.882166661,12.94352778
-5.455412621,17.93219928
-5.199161156,22.93252901
-5.113710816,27.93869127
-5.113710816,32.93869127
-5.113710816,37.95690899
-5.113710816,42.97512671
-5.113710816,47.99334443
-5.113710816,53.01156215
-5.113710816,58.02977987
-5.113710816,63.04799759
-5.113710816,68.06621532
-5.113710816,73.08443304
-5.113710816,78.10265076
-5.113710816,83.12086848
-5.113710816,88.1390862
-5.113710816,93.15730392
-5.113710816,98.17552164
-5.113710816,103.1937394
-5.113710816,108.2119571
-5.113710816,113.2301748
-5.113710816,118.2483925
-5.113710816,123.2666102
-5.113710816,128.284828
-5.113710816,133.3030457
-5.113710816,138.3212634
-5.113710816,143.3394811
-5.113710816,148.3576989
-5.113710816,153.3759166
-5.113710816,158.3941343
-5.113710816,163.412352
-5.113710816,168.4305697
-5.113710816,173.4487875
-5.113710816,178.4670052
-5.113710816,183.4852229
-5.113710816,188.5034406
-5.113710816,193.5216583
-5.113710816,198.5398761
-5.113710816,203.5580938
-5.113710816,208.5763115
-5.113710816,213.5945292
-5.113710816,218.6127469
-5.113710816,223.6309647
-5.113710816,228.6491824
-5.113710816,233.6674001
-5.113710816,238.6856178
-5.113710816,243.7038356
-5.113710816,248.7220533
-5.113710816,253.740271
-5.113710816,258.7584887
-5.113710816,263.7767064
-5.113710816,268.7949242
-5.113710816,273.8131419
-5.113710816,278.8313596
-5.113710816,283.8495773
-5.113710816,288.867795
-5.113710816,293.8860128
-5.113710816,298.9042305
-5.113710816,303.9224482
-5.113710816,308.9406659
-5.113710816,313.9588836
-5.113710816,318.9771014
-5.113710816,323.9953191
-5.113710816,329.0135368
-5.113710816,334.0317545
-5.113710816,339.0499722
-5.113710816,344.06819
-5.113710816,349.0864077
-5.113710816,354.1046254
-5.113710816,359.1228431
-5.113710816,364.1410609
-5.113710816,369.1592786
-5.113710816,374.1774963
-5.113710816,379.195714
-5.113710816,384.2139317
-5.113710816,389.2321495
-5.113710816,394.2503672
-5.113710816,399.2685849
-5.113710816,404.2868026
-5.113710816,409.3050203
-5.113710816,414.3232381
-5.113710816,419.3414558
-5.113710816,424.3596735
-5.113710816,429.3778912
-5.113710816,434.3961089
-5.113710816,439.4143267
-5.113710816,444.4325444
-5.113710816,449.4507621
-5.113710816,454.4689798
-5.113710816,459.4871976
-5.113710816,464.5054153
-5.113710816,469.523633
-5.113710816,474.5418507
-5.113710816,479.5600684
-5.113710816,484.5782862
-5.113710816,489.5965039
-5.113710816,494.6147216
-5.113710816,499.6329393
-5.113710816,504.651157
-5.113710816,509.6693748
-5.113710816,514.6875925
-5.113710816,519.7058102
-5.113710816,524.7240279
-5.113710816,529.7422456
-5.113710816,534.7604634
-5.113710816,539.7786811
-5.113710816,544.7968988
-5.113710816,549.8151165
-5.113710816,554.8333343
-5.113710816,559.851552
-5.322813949,564.8471776
-5.938265756,569.746118
-6.955900462,574.5775584
-8.368775851,579.3085394
-10.16725341,583.9067864
-12.33906408,588.3409307
-14.86939195,592.580723
-17.74097535,596.5972396
-20.93422459,600.3630804
-24.42735559,603.852555
-28.19653853,607.0418586
-32.21606034,609.909234
-36.45850022,612.4351202
-40.8949166,614.6022859
-45.49504463,616.3959468
-50.22750264,617.8038667
-55.0600062,618.816441
-59.9595884,619.4267619
-64.89282472,619.6306659
-69.89282472,619.6306659
-74.36345666,619.6306659
-78.83408861,619.6306659
-83.30472056,619.6306659
-87.77535251,619.6306659
-92.24598446,619.6306659
-97.24515388,619.5395335
-102.2230941,619.267322
-107.187854,618.8143902
-112.1328749,618.1813365
-117.051624,617.3689972
-121.9376035,616.3784454
-126.7843586,615.2109897
-131.5854865,613.8681724
-136.3346448,612.3517673
-141.0255594,610.6637779
-145.6520334,608.8064339
-150.2079549,606.7821891
-154.6873054,604.5937176
-159.0841673,602.2439105
-163.3927321,599.735872
-167.6073081,597.0729154
-171.7223274,594.2585586
-175.7323539,591.2965196
-179.6320902,588.1907113
-183.4163844,584.9452367
-187.0802373,581.5643832
-190.6188087,578.0526172
-194.0274241,574.414578
-197.3015803,570.6550715
-200.436952,566.7790642
-203.4293974,562.7916767
-206.274963,558.6981765
-208.9698899,554.5039713
-211.5106178,550.2146019
-213.8937904,545.8357348
-216.1162592,541.3731548
-218.1750883,536.8327572
-220.0675579,532.22054
-221.8812003,527.5610657
-223.6903743,522.9130712
-225.4995483,518.2650767
-227.3087224,513.6170822
-229.1178964,508.9690878
-230.9270704,504.3210933
-232.7362445,499.6730988
-234.5454185,495.0251043
-236.3545925,490.3771098
-238.1637665,485.7291154
-239.9729406,481.0811209
-241.7821146,476.4331264
-243.5912886,471.7851319
-245.4004627,467.1371374
-247.2096367,462.489143
-249.0188107,457.8411485
-250.8279847,453.193154
-252.6371588,448.5451595
-254.4463328,443.8971651
-256.2555068,439.2491706
-258.0646809,434.6011761
-259.8738549,429.9531816
-261.6830289,425.3051871
-263.4922029,420.6571927
-265.301377,416.0091982
-267.110551,411.3612037
-268.919725,406.7132092
-270.7288991,402.0652147
-272.5380731,397.4172203
-274.3472471,392.7692258
-276.1564211,388.1212313
-277.9655952,383.4732368
-279.7747692,378.8252424
-281.5839432,374.1772479
-283.3931173,369.5292534
-285.2022913,364.8812589
-287.0114653,360.2332644
-288.8206393,355.58527
-290.6298134,350.9372755
-292.4389874,346.289281
-294.2481614,341.6412865
-296.0573355,336.993292
-297.8665095,332.3452976
-299.6756835,327.6973031
-301.4848575,323.0493086
-303.2940316,318.4013141
-305.1032056,313.7533197
-306.9123796,309.1053252
-308.7215537,304.4573307
-310.5307277,299.8093362
-312.3399017,295.1613417
-314.1490757,290.5133473
-315.9582498,285.8653528
-317.8949577,281.2556714
-320.0502781,276.8004288
-322.4367025,272.4645816
-325.0476385,268.2601072
-327.8758738,264.19862
-330.9135954,260.2913397
-334.152412,256.5490597
-337.5833766,252.9821178
-341.1970114,249.6003674
-344.9833341,246.4131502
-348.9318852,243.4292708
-353.0317572,240.6569718
-357.2716246,238.1039115
-361.6397751,235.7771425
-366.1241419,233.6830923
-370.7123375,231.8275455
-375.3916873,230.215628
-380.149265,228.8517925
-384.9719281,227.7398066
-389.8463545,226.8827419
-394.7590789,226.2829661
-399.6965304,225.942136
-404.6450697,225.861193
-409.5910267,226.0403609
-414.5207388,226.4791447
-419.420588,227.1763322
-424.2770389,228.1299975
-429.0766758,229.3375063
-433.8062403,230.7955228
-438.4526673,232.5000195
-443.0031214,234.4462877
-447.4450323,236.6289511
-451.7661297,239.0419803
-455.9544768,241.6787095
-459.9985038,244.5318548
-463.8870393,247.5935348
-467.6093415,250.8552918
-471.1551279,254.3081155
-474.5146036,257.9424676
-477.6784882,261.7483087
-480.6380419,265.7151254
-483.385089,269.8319597
-485.9120411,274.0874391
-488.2119178,278.4698083
-490.2783657,282.9669614
-492.1056765,287.5664752
-493.6888023,292.2556441
-495.163132,297.0333373
-496.6080768,301.7158066
-498.0530217,306.3982759
-499.4979666,311.0807452
-500.9429114,315.7632145
-502.3878563,320.4456838
-503.8328012,325.1281531
-505.277746,329.8106224
-506.7226909,334.4930917
-508.1676357,339.175561
-509.6125806,343.8580303
-511.0575255,348.5404995
-512.5024703,353.2229688
-513.9474152,357.9054381
-513.8099092,372.9670572
-511.7084668,377.6560943
-508.6860983,381.8116229
-504.8724682,385.2553642
-500.4311871,387.8395762
-495.5527931,389.453392
-490.4465772,390.0275766
-485.331604,389.5374963
