,Distance,Turn Radius
1,0.0,13818.567
2,1.0,15511.787
3,3.0,17483.184
4,4.0,19816.398
5,6.0,21094.873
6,7.0,20059.723
7,8.0,16727.117
8,10.0,10437.544
9,11.0,8148.752
10,13.0,7688.7217
11,14.0,8963.6045
12,15.0,11550.018
13,17.0,11687.684
14,18.0,8110.9272
15,20.0,5495.0474
16,21.0,4413.3057
17,23.0,4194.7554
18,24.0,4235.2134
19,25.0,4526.6504
20,27.0,4768.149
21,28.0,5227.445
22,30.0,6069.2456
23,31.0,6964.5674
24,32.0,8030.8237
25,34.0,8401.675
26,35.0,8224.811
27,37.0,6848.6743
28,38.0,5794.303
29,39.0,5300.3057
30,41.0,5396.41
31,42.0,6125.65
32,44.0,7094.5864
33,45.0,6738.732
34,47.0,5339.3584
35,48.0,4384.638
36,49.0,4173.8
37,51.0,4237.1914
38,52.0,4190.2144
39,54.0,3894.869
40,55.0,3584.67
41,56.0,3575.0144
42,58.0,3938.461
43,59.0,4790.788
44,61.0,5711.1426
45,62.0,6778.553
46,64.0,8050.1733
47,65.0,8980.199
48,66.0,8765.38
49,68.0,7837.281
50,69.0,7428.198
51,71.0,7316.114
52,72.0,6922.8843
53,73.0,6722.3477
54,75.0,7347.514
55,76.0,9387.772
56,78.0,14447.954
57,79.0,33410.895
58,81.0,486349.47
59,82.0,-28608.793
60,83.0,-17382.945
61,85.0,-13285.229
62,86.0,-10759.142
63,88.0,-9609.6045
64,89.0,-9173.107
65,91.0,-8143.0474
66,92.0,-8003.541
67,93.0,-7516.7676
68,95.0,-6718.112
69,96.0,-5867.346
70,98.0,-5151.9175
71,99.0,-4948.116
72,101.0,-5293.8994
73,102.0,-5806.5986
74,103.0,-6310.3364
75,105.0,-7684.497
76,106.0,-8570.666
77,108.0,-9481.667
78,109.0,-10245.141
79,111.0,-9998.499
80,112.0,-8757.393
81,113.0,-7610.2974
82,115.0,-7143.2446
83,116.0,-6836.2026
84,118.0,-5907.817
85,119.0,-5837.7134
86,121.0,-5588.9443
87,122.0,-5232.548
88,123.0,-5060.52
89,125.0,-5045.5327
90,126.0,-5012.891
91,128.0,-5269.98
92,129.0,-5577.219
93,131.0,-5891.7695
94,132.0,-6053.8384
95,133.0,-6205.8755
96,135.0,-6433.547
97,136.0,-7013.0225
98,138.0,-8644.664
99,139.0,-9343.065
100,141.0,-9300.29
101,142.0,-9298.857
102,143.0,-8739.393
103,145.0,-8024.623
104,146.0,-7307.7373
105,148.0,-7329.4854
106,149.0,-9297.884
107,150.0,-12482.173
108,152.0,-12712.753
109,153.0,-10889.488
110,155.0,-9615.657
111,156.0,-9565.65
112,157.0,-9097.422
113,159.0,-8606.767
114,160.0,-9354.428
115,161.0,-10131.965
116,163.0,-20313.137
118,165.0,20312.586
119,167.0,11562.371
120,168.0,7734.171
121,169.0,5265.4224
122,171.0,3871.2915
123,172.0,3104.4822
124,173.0,2275.2126
125,175.0,1866.5028
126,176.0,1607.1189
127,177.0,1383.254
128,179.0,1228.7748
129,180.0,1111.0636
130,181.0,1022.635
131,182.0,977.7796
132,184.0,918.4128
133,185.0,937.5797
134,186.0,998.33856
135,187.0,1103.5892
136,189.0,1208.395
137,190.0,1229.6038
138,191.0,1193.5819
139,192.0,1186.1926
140,193.0,1117.4142
141,195.0,972.9913
142,196.0,918.32465
143,197.0,868.7466
144,198.0,734.89166
145,200.0,594.5896
146,201.0,497.4679
147,202.0,440.6867
148,203.0,412.3185
149,204.0,400.81027
150,205.0,422.1074
151,207.0,450.0878
152,208.0,500.39346
153,209.0,581.64557
154,210.0,685.72144
155,211.0,785.635
156,212.0,831.60486
157,213.0,712.4695
158,215.0,603.07623
159,216.0,498.29816
160,217.0,429.36887
161,218.0,382.1376
162,219.0,357.51334
163,220.0,351.01535
164,221.0,349.7329
165,222.0,343.76892
166,223.0,349.76135
167,224.0,356.0971
168,225.0,367.70734
169,227.0,381.69556
170,228.0,387.27863
171,229.0,386.61914
172,230.0,389.57346
173,231.0,391.20956
174,232.0,377.55405
175,233.0,359.25595
176,234.0,351.99182
177,235.0,367.77786
178,236.0,407.8948
